,text,scores,boxes,centroid,source
42,sanya sukabumi,0.9696014523506165,"[[229.0, 687.0], [340.0, 692.0], [339.0, 712.0], [228.0, 707.0]]",POINT (284 699.5),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?"
43,erafone mega,0.9865718483924866,"[[412.0, 692.0], [490.0, 692.0], [490.0, 706.0], [412.0, 706.0]]",POINT (451 699),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?"
44,o halte dago sukabumi,0.97956383228302,"[[1420.0, 690.0], [1586.0, 690.0], [1586.0, 716.0], [1420.0, 716.0]]",POINT (1503 703),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?"
45,a,0.6804260611534119,"[[372.0, 702.0], [400.0, 702.0], [400.0, 718.0], [372.0, 718.0]]",POINT (386 710),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?"
46,-,0.893582820892334,"[[1876.0, 817.0], [1892.0, 817.0], [1892.0, 837.0], [1876.0, 837.0]]",POINT (1884 827),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?"
47,sukagoogle,0.9877458810806274,"[[938.0, 842.0], [1023.0, 856.0], [1020.0, 876.0], [935.0, 862.0]]",POINT (979 859),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?"
48,cimb niaga atm,0.9498157501220703,"[[1597.0, 857.0], [1732.0, 866.0], [1731.0, 887.0], [1596.0, 879.0]]",POINT (1663.4783006984999 872.2165349822512),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?"
49,kostan moedjiman (),0.9612074494361877,"[[900.0, 2.0], [1050.0, 2.0], [1050.0, 24.0], [900.0, 24.0]]",POINT (975 13),"https://www.google.com/maps/@-6.918996,106.9307722,20z?"
50,sate h. ac,0.9176256060600281,"[[1004.0, 52.0], [1066.0, 52.0], [1066.0, 66.0], [1004.0, 66.0]]",POINT (1035 59),"https://www.google.com/maps/@-6.918996,106.9307722,20z?"
51,o rumah teman,0.9695730209350586,"[[1062.0, 90.0], [1186.0, 90.0], [1186.0, 118.0], [1062.0, 118.0]]",POINT (1124 104),"https://www.google.com/maps/@-6.918996,106.9307722,20z?"
52,o dirza coffe naga,0.9651782512664795,"[[1704.0, 102.0], [1836.0, 102.0], [1836.0, 124.0], [1704.0, 124.0]]",POINT (1770 113),"https://www.google.com/maps/@-6.918996,106.9307722,20z?"
53,w mr cane,0.8892257213592529,"[[1521.0, 207.0], [1602.0, 212.0], [1601.0, 234.0], [1520.0, 229.0]]",POINT (1561 220.5),"https://www.google.com/maps/@-6.918996,106.9307722,20z?"
54,masjid jami' ad-da'wah (,0.9379737377166748,"[[718.0, 285.0], [894.0, 285.0], [894.0, 305.0], [718.0, 305.0]]",POINT (806 295),"https://www.google.com/maps/@-6.918996,106.9307722,20z?"
55,mah ini terima,0.9674277305603027,"[[322.0, 343.0], [414.0, 343.0], [414.0, 363.0], [322.0, 363.0]]",POINT (368 353),"https://www.google.com/maps/@-6.918996,106.9307722,20z?"
56,de chick fried,0.9708632230758667,"[[1596.0, 379.0], [1680.0, 379.0], [1680.0, 393.0], [1596.0, 393.0]]",POINT (1638 386),"https://www.google.com/maps/@-6.918996,106.9307722,20z?"
57,cikikim cake & bakery,0.9853023290634155,"[[290.0, 415.0], [460.0, 417.0], [460.0, 439.0], [290.0, 436.0]]",POINT (375.65891472868213 426.7596899224806),"https://www.google.com/maps/@-6.918996,106.9307722,20z?"
58,sukabumi bc 3,0.9763783812522888,"[[1184.0, 476.0], [1286.0, 476.0], [1286.0, 498.0], [1184.0, 498.0]]",POINT (1235 487),"https://www.google.com/maps/@-6.918996,106.9307722,20z?"
59,t karyawan/ti,0.9386029839515686,"[[74.0, 496.0], [186.0, 496.0], [186.0, 518.0], [74.0, 518.0]]",POINT (130 507),"https://www.google.com/maps/@-6.918996,106.9307722,20z?"
60,pedestrian dago,0.9970136880874634,"[[1380.0, 488.0], [1514.0, 490.0], [1514.0, 512.0], [1380.0, 510.0]]",POINT (1447 500),"https://www.google.com/maps/@-6.918996,106.9307722,20z?"
61,gki penginjil sukabumi,0.9731506109237671,"[[1046.0, 584.0], [1226.0, 584.0], [1226.0, 610.0], [1046.0, 610.0]]",POINT (1136 597),"https://www.google.com/maps/@-6.918996,106.9307722,20z?"
62,perkum,0.8865551948547363,"[[1076.0, 704.0], [1122.0, 704.0], [1122.0, 720.0], [1076.0, 720.0]]",POINT (1099 712),"https://www.google.com/maps/@-6.918996,106.9307722,20z?"
63,ga negara ajic,0.9278837442398071,"[[1100.0, 718.0], [1186.0, 718.0], [1186.0, 732.0], [1100.0, 732.0]]",POINT (1143 725),"https://www.google.com/maps/@-6.918996,106.9307722,20z?"
64,ayam goreng dago,0.9385167360305786,"[[1384.0, 744.0], [1539.0, 739.0], [1540.0, 773.0], [1385.0, 778.0]]",POINT (1462 758.5),"https://www.google.com/maps/@-6.918996,106.9307722,20z?"
65,ave brewtherhood,0.9985701441764832,"[[174.0, 809.0], [290.0, 809.0], [290.0, 829.0], [174.0, 829.0]]",POINT (232 819),"https://www.google.com/maps/@-6.918996,106.9307722,20z?"
66,17,0.5075679421424866,"[[430.0, 30.0], [444.0, 30.0], [444.0, 44.0], [430.0, 44.0]]",POINT (437 37),"https://www.google.com/maps/@-6.9178044,106.9307722,20z?"
67,hotel )( rekomendasi aktivitas,0.9797777533531189,"[[608.0, 24.0], [874.0, 24.0], [874.0, 50.0], [608.0, 50.0]]",POINT (741 37),"https://www.google.com/maps/@-6.9178044,106.9307722,20z?"
68,transportasi umum  apotek  atm,0.9072653651237488,"[[992.0, 24.0], [1328.0, 24.0], [1328.0, 50.0], [992.0, 50.0]]",POINT (1160 37),"https://www.google.com/maps/@-6.9178044,106.9307722,20z?"
69,kota sukabumi,0.9600382447242737,"[[1178.0, 52.0], [1302.0, 52.0], [1302.0, 66.0], [1178.0, 66.0]]",POINT (1240 59),"https://www.google.com/maps/@-6.9178044,106.9307722,20z?"
70,4,0.5083831548690796,"[[1474.0, 72.0], [1496.0, 72.0], [1496.0, 92.0], [1474.0, 92.0]]",POINT (1485 82),"https://www.google.com/maps/@-6.9178044,106.9307722,20z?"
71,impang botram,0.9997405409812927,"[[74.0, 122.0], [174.0, 122.0], [174.0, 142.0], [74.0, 142.0]]",POINT (124 132),"https://www.google.com/maps/@-6.9178044,106.9307722,20z?"
72,o gang makmoer,0.9735231995582581,"[[1360.0, 134.0], [1492.0, 134.0], [1492.0, 161.0], [1360.0, 161.0]]",POINT (1426 147.5),"https://www.google.com/maps/@-6.9178044,106.9307722,20z?"
73,kota sukabumi o,0.9798545837402344,"[[1556.0, 153.0], [1696.0, 153.0], [1696.0, 175.0], [1556.0, 175.0]]",POINT (1626 164),"https://www.google.com/maps/@-6.9178044,106.9307722,20z?"
74,mr ebood sukabumi 1 o,0.9584660530090332,"[[72.0, 164.0], [244.0, 159.0], [244.0, 181.0], [72.0, 186.0]]",POINT (158 172.5),"https://www.google.com/maps/@-6.9178044,106.9307722,20z?"
75,sudin.sh,0.977583646774292,"[[75.0, 199.0], [144.0, 223.0], [137.0, 244.0], [68.0, 219.0]]",POINT (106.24758301807482 221.34636401849517),"https://www.google.com/maps/@-6.9178044,106.9307722,20z?"
