,latitude,longitude,nama,kategori,telp,alamat,website,last_review,date_last_review,last_review_rating,link,intersect
20,-6.91757,106.9317994,Radio Swara Perintis,Penyiar Radio,Telepon: (0266) 221286 ,"Alamat: Jl. Syamsudin. SH No.25, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43133 ",Situs Web: sukabumikota.go.id ,Radionya selalu menemani kalau pas lagi nugas di Sukabumi. . .,2 tahun lalu,5 bintang,"https://www.google.com/maps/place/Radio+Swara+Perintis/@-6.9178044,106.9307722,20z/data=!4m6!3m5!1s0x2e6849ec89362455:0xd6f8c98380963976!8m2!3d-6.91757!4d106.9317994!16s%2Fg%2F11hnvlns0k?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",True
21,-6.9176328,106.9303313,Toko Benteng,Toko bahan makanan,Telepon: (0266) 220636 ,"Alamat: Jl. Syamsudin. SH No.9, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,Arga hemat ekonomia,sebulan lalu,5 bintang,"https://www.google.com/maps/place/Toko+Benteng/@-6.9178044,106.9307722,20z/data=!4m6!3m5!1s0x2e684836a94bcf0d:0xc2a44387ed8c8ebc!8m2!3d-6.9176328!4d106.9303313!16s%2Fg%2F11hbgbmzdm?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",True
22,-6.9176457,106.9310665,Koperasi Pegawai Republik Indonesia Pemerintah Kota Sukabumi,Koperasi,Telepon: (0266) 223545 ,"Alamat: Jl Perpustakaan No.2, Cikole, Kab. Sukabumi, Kota Sukabumi, Jawa Barat 43113 ",,Pegawainya ramah,5 tahun lalu,5 bintang,"https://www.google.com/maps/place/Koperasi+Pegawai+Republik+Indonesia+Pemerintah+Kota+Sukabumi/@-6.9178044,106.9307722,20z/data=!4m6!3m5!1s0x2e684836a7a7d221:0x9266368503f74563!8m2!3d-6.9176457!4d106.9310665!16s%2Fg%2F1pzpz4ml6?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",True
23,-6.9176712,106.9321791,BOENDA KITCHEN,Restoran Keluarga,,"Alamat: Jl. Dewi Sartika No.32, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113 ",,"Tempat nyaman pelayanan ramah makanan mantap wort it pokonya ga ada rugi²nyaaa makan di sni, sblakk hot plate nya pun the bestttt",4 bulan lalu,5 bintang,"https://www.google.com/maps/place/BOENDA+KITCHEN/@-6.9176714,106.9318571,20z/data=!4m6!3m5!1s0x2e684900437fed57:0xaad111237b3ba57c!8m2!3d-6.9176712!4d106.9321791!16s%2Fg%2F11vzfkzqhf?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",True
24,-6.917697,106.9315715,Bagian Organisasi Setda Kota Sukabumi,Kantor Pemerintah,,"Alamat: Jl. Syamsudin. SH No.25, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,,,,"https://www.google.com/maps/place/Bagian+Organisasi+Setda+Kota+Sukabumi/@-6.9178044,106.9307722,20z/data=!4m6!3m5!1s0x2e68490072c36733:0xfce4d403ff0af9d4!8m2!3d-6.917697!4d106.9315715!16s%2Fg%2F11y47929rb?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",True
25,-6.917739,106.931932,Bagian Tata Pemerintahan Setda Kota Sukabumi,Kantor Perusahaan,Telepon: (0266) 226149 ,"Alamat: 3WJJ+WQ3, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113 ",Situs Web: tapemkota.wordpress.com ,,,,"https://www.google.com/maps/place/Bagian+Tata+Pemerintahan+Setda+Kota+Sukabumi/@-6.9178044,106.9307722,20z/data=!4m6!3m5!1s0x2e6848369bbd7ad1:0x37fda2a455715cfe!8m2!3d-6.917739!4d106.931932!16s%2Fg%2F11fy2p_tgc?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",True
26,-6.9178948,106.9315006,Kantor Walikota Sukabumi,Kantor Pemerintah Kota,Telepon: (0266) 221123 ,"Alamat: Jl. Syamsudin. SH No.25, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,"Pak tolong segera mengambil tindakan untuk demam berdarah yg sedang marak saat ini, area Sukabumi kota harus melakukan puging per RT/RW, terimakasih,",7 bulan lalu,5 bintang,"https://www.google.com/maps/place/Kantor+Walikota+Sukabumi/@-6.9178044,106.9307722,132m/data=!3m1!1e3!4m6!3m5!1s0x2e6848369829eddd:0xc40a579dcbedb32e!8m2!3d-6.9178948!4d106.9315006!16s%2Fg%2F11bcf3q02d?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",True
27,-6.9180029,106.931593,Balai Kota Sukabumi,Balai Kota,Telepon: (0266) 221123 ,"Alamat: 3WJJ+QJW, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",Situs Web: sukabumikota.go.id ,Tempat pemerintahan kota sukabumi,sebulan lalu,5 bintang,"https://www.google.com/maps/place/Balai+Kota+Sukabumi/@-6.9178044,106.9307722,20z/data=!4m6!3m5!1s0x2e684997f0eab761:0x37f1cecaddf0a585!8m2!3d-6.9180029!4d106.931593!16s%2Fg%2F11h6f_cjg2?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",True
28,-6.9181612,106.9318428,bank bjb KCP Pemda Kota Sukabumi,Bank,Telepon: (0266) 212282 ,"Alamat: Jl. R. Syamsudin S.H No. 25, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113 ",Situs Web: bankbjb.co.id ,,2 tahun lalu,1 bintang,"https://www.google.com/maps/place/bank+bjb+KCP+Pemda+Kota+Sukabumi/@-6.9178044,106.9307722,20z/data=!4m6!3m5!1s0x2e6849005bb4aed7:0xf08bf4ebcf3aa158!8m2!3d-6.9181612!4d106.9318428!16s%2Fg%2F11j154x3qr?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",True
29,-6.9183217,106.9318183,Bc jomet,Layanan Transportasi,Telepon: 0896-0203-0820 ,"Alamat: Jl. Syamsudin. SH No.22, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113 ",,Terbuka untuk umum spot gacor👍 …,3 tahun lalu,5 bintang,"https://www.google.com/maps/place/Bc+jomet/@-6.9178044,106.9307722,20z/data=!4m6!3m5!1s0x2e68499ec48d5acb:0x5cd62166d8efecd0!8m2!3d-6.9183217!4d106.9318183!16s%2Fg%2F11p5tj4d3k?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D",True
