,text,scores,boxes,centroid,source,latitude,longitude,nama,kategori,telp,alamat,website,last_review,date_last_review,last_review_rating,link
27,handy in bea,0.9657413363456726,"[[388.0, 470.0], [474.0, 470.0], [474.0, 490.0], [388.0, 490.0]]",POINT (431 480),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.9202438,106.9302124,Handy In Beauty Care,Spa Kesehatan,Telepon: 0819-0861-0776 ,"Alamat: Jl. R. E. Martadinata No.25, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,,3 bulan lalu,5 bintang,"https://www.google.com/maps/place/Handy+In+Beauty+Care/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e6848372a5073e7:0x703349248d34fe13!8m2!3d-6.9202438!4d106.9302124!16s%2Fg%2F11f016rnzf?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D"
29,.,0.916862428188324,"[[574.0, 474.0], [592.0, 474.0], [592.0, 490.0], [574.0, 490.0]]",POINT (583 482),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",,,,,,,,,,,
30,sukabumi,0.991136372089386,"[[597.0, 480.0], [666.0, 485.0], [665.0, 499.0], [596.0, 494.0]]",POINT (631 489.5),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.9202545,106.9302665,Aqiqah Almaidah Sukabumi,Katering,Telepon: 0816-277-999 ,"Alamat: Indah plaza, Jl. R. E. Martadinata No.25 lantai dasar, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113 ",Situs Web: aqiqahsukabumi.net ,"gak nyesel sudah mempercayakan aqiqah disini, kenapa baru tau di anak ke 2, rekomended pokonya, bayar satset tau tau nyampe rumah udah jadi, gratis ongkir dan yang terpenting juga masakannya enak, gulai kambingnya the best,",sebulan lalu,5 bintang,"https://www.google.com/maps/place/Aqiqah+Almaidah+Sukabumi/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e68492661d615c5:0x65248b3bb6a63345!8m2!3d-6.9202545!4d106.9302665!16s%2Fg%2F11q4bqqb9k?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D"
31,tekun.id sukabumi o,0.9718343615531921,"[[984.0, 472.0], [1130.0, 472.0], [1130.0, 500.0], [984.0, 500.0]]",POINT (1057 486),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.9202609,106.9309856,Tekun.id Sukabumi,Kedai Kopi,Telepon: 0822-1516-8262 ,"Alamat: Jl. Ir. H. Juanda, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",Situs Web: sukabumi.tekun.co.id ,Tempat estetik pelayan ramah menu memuaskan❤️,1 hari lalu,5 bintang,"https://www.google.com/maps/place/Tekun.id+Sukabumi/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e68496e201c4461:0x6807920472c07dcb!8m2!3d-6.9202609!4d106.9309856!16s%2Fg%2F11rf9_ytkc?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D"
32,ochi racing team,0.9636189937591553,"[[130.0, 506.0], [254.0, 506.0], [254.0, 520.0], [130.0, 520.0]]",POINT (192 513),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",,,,,,,,,,,
33,bruncl,0.9814350605010986,"[[372.0, 510.0], [402.0, 510.0], [402.0, 524.0], [372.0, 524.0]]",POINT (387 517),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",,,,,,,,,,,
34,er bangor,0.9787365794181824,"[[1212.0, 522.0], [1272.0, 522.0], [1272.0, 536.0], [1212.0, 536.0]]",POINT (1242 529),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",,,,,,,,,,,
35,o opang m,0.861716628074646,"[[510.0, 582.0], [600.0, 582.0], [600.0, 604.0], [510.0, 604.0]]",POINT (555 593),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.9204023,106.9301821,OPANG MCD,Taman,,"Alamat: Jl. R. E. Martadinata No.25, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,,,,"https://www.google.com/maps/place/OPANG+MCD/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e68498d5b5e1a95:0xa52af2e1fb17adc2!8m2!3d-6.9204023!4d106.9301821!16s%2Fg%2F11v074tvdc?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D"
36,ntor dinas perhutani,0.955279529094696,"[[704.0, 596.0], [828.0, 594.0], [828.0, 614.0], [704.0, 616.0]]",POINT (766 605),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",,,,,,,,,,,
37,gourmet coffeenery,0.9559834003448486,"[[874.0, 590.0], [1036.0, 590.0], [1036.0, 616.0], [874.0, 616.0]]",POINT (955 603),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.9204149,106.930855,Gourmet Coffeenery,Kedai Kopi,Telepon: (0266) 6228348 ,"Alamat: Jl. R. E. Martadinata No.31, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",Situs Web: linktr.ee ,"Selain makanannya enak dan berkualitas, pelayanannya disini bagus bangetttt.. Terimakasih, ya!",seminggu lalu,5 bintang,"https://www.google.com/maps/place/Gourmet+Coffeenery/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e68495873ecbca3:0x241bd6a840a6d0c4!8m2!3d-6.9204149!4d106.930855!16s%2Fg%2F11f5qdgldk?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D"
38,d,0.5955257415771484,"[[1154.0, 604.0], [1176.0, 604.0], [1176.0, 624.0], [1154.0, 624.0]]",POINT (1165 614),"https://www.google.com/maps/@-6.9201876,106.9307722,20z?",-6.9204309,106.9310458,Tugu Kusukabumiku,Pembuat monumen,,"Alamat: 3WHJ+RCF, Jl. Ir. H. Juanda, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111 ",,Mantap kota sukabumi,4 bulan lalu,5 bintang,"https://www.google.com/maps/place/Tugu+Kusukabumiku/@-6.9201876,106.9307722,20z/data=!4m6!3m5!1s0x2e6848369641631f:0x437c7cfb4f881d91!8m2!3d-6.9204309!4d106.9310458!16s%2Fg%2F11c1s1qs1_?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D"
